lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
2617340,Hagar Township S/D #6,Rural (fringe),1,81,0,0,5,0,5,16.2,0,0,,0,,7,792000,576000,362000,312000,86.19,9777.78,62400.0
2617370,Hale Area Schools,Rural (remote,2,342,0,1,7,9,21,16.29,6,0,,0,,52,4201000,2187000,1767000,1124000,63.61,12283.63,53523.81
2617400,Hamilton Community Schools,Rural (fringe),8,2729,1,10,54,59,145,18.82,36,3,909.67,0,,299,39397000,21100000,15648000,10917000,69.77,14436.42,75289.66
2617520,Hamtramck School District of the City of,Large Suburb,8,3300,3,11,77,73,195,16.92,37,4,825.0,2,1650.0,400,44673000,23772000,18593000,12984000,69.83,13537.27,66584.62
2617550,Hancock Public Schools,Rural (fringe),2,701,0,3,15,22,43,16.3,6,1,701.0,0,,70,7676000,4490000,3109000,2480000,79.77,10950.07,57674.42
2617640,Hanover-Horton School District,Rural (distant),3,1135,0,6,19,25,55,20.64,10,1,1135.0,0,,112,11314000,6914000,5600000,3916000,69.93,9968.28,71200.0
2617700,Harbor Springs School District,Rural (distant),4,801,1,3,20,27,56,14.3,6,1,801.0,0,,116,18301000,8114000,6182000,4376000,70.79,22847.69,78142.86
2617730,Harper Creek Community Schools,Rural (fringe),5,2828,0,11,53,72,157,18.01,37,4,707.0,1,2828.0,314,33202000,19195000,14435000,10727000,74.31,11740.45,68324.84
2617760,Harper Woods The School District of the City of,Large Suburb,7,2349,2,4,26,45,100,23.49,7,4,587.25,0,,223,34819000,18866000,10625000,7168000,67.46,14822.9,71680.0
2617820,Harrison Community Schools,Town (distant),5,1418,4,6,25,32,75,18.91,6,1,1418.0,0,,158,17153000,9552000,6390000,5109000,79.95,12096.61,68120.0
2617860,Hart Public School District,Town (distant),4,1353,2,4,29,31,80,16.91,24,2,676.5,0,,206,15737000,8610000,6255000,4583000,73.27,11631.19,57287.5
2617880,Hartford Public Schools,Town (fringe),4,1365,0,5,27,31,79,17.28,19,1,1365.0,0,,166,14871000,8179000,6270000,4331000,69.07,10894.51,54822.78
2617910,Hartland Consolidated Schools,Large Suburb,9,5482,0,17,102,129,295,18.58,20,7,783.14,1,5482.0,534,63157000,34575000,25396000,19289000,75.95,11520.8,65386.44
2617940,Haslett Public Schools,Large Suburb,5,2685,0,11,53,79,167,16.08,40,4,671.25,1,2685.0,318,36201000,16366000,14847000,9263000,62.39,13482.68,55467.07
2617970,Hastings Area School District,Town (distant),6,2659,0,11,44,61,135,19.7,10,3,886.33,1,2659.0,267,38099000,16183000,12064000,9040000,74.93,14328.32,66962.96
2618030,Hazel Park School District of the City of,Large Suburb,12,3229,0,8,52,63,169,19.11,45,1,3229.0,3,1076.33,389,51631000,23859000,17659000,11596000,65.67,15989.78,68615.38
2618180,Hemlock Public School District,Rural (fringe),5,1209,1,5,20,27,64,18.89,11,0,,0,,123,13515000,6843000,5430000,3710000,68.32,11178.66,57968.75
2618270,Hesperia Community Schools,Rural (distant),4,899,0,3,20,23,51,17.63,18,2,449.5,0,,113,10747000,6863000,4906000,3714000,75.7,11954.39,72823.53
2618360,Hillman Community Schools,Rural (remote,2,411,0,1,11,12,27,15.22,3,0,,0,,57,5032000,2783000,2283000,1434000,62.81,12243.31,53111.11
2618390,Hillsdale Community Schools,Town (distant),6,1353,3,6,27,31,78,17.35,20,6,225.5,1,1353.0,163,14917000,8925000,7012000,4913000,70.07,11025.13,62987.18
2618420,Holland City School District,Small City,8,3364,3,12,60,82,199,16.9,76,5,672.8,0,,416,49110000,25711000,21033000,14237000,67.69,14598.69,71542.71
2618450,Holly Area School District,Town (fringe),7,3296,9,16,59,74,200,16.48,73,6,549.33,0,,433,42913000,23332000,17001000,12585000,74.03,13019.72,62925.0
2618480,Holt Public Schools,Large Suburb,10,5532,6,17,99,143,305,18.14,94,6,922.0,2,2766.0,604,66489000,36652000,30640000,21176000,69.11,12018.98,69429.51
2618510,Holton Public Schools,Rural (distant),4,837,0,3,17,19,44,19.02,16,1,837.0,0,,109,11544000,4932000,3891000,2773000,71.27,13792.11,63022.73
2618540,Homer Community School District,Rural (distant),3,1025,0,4,19,27,58,17.67,7,1,1025.0,0,,108,11954000,6714000,5261000,3694000,70.21,11662.44,63689.66
2618570,Hopkins Public Schools,Rural (distant),4,1657,0,7,30,40,86,19.27,13,3,552.33,0,,154,17767000,9781000,7731000,5187000,67.09,10722.39,60313.95
2618600,Houghton Lake Community Schools,Rural (fringe),4,1249,2,4,28,33,84,14.87,19,3,416.33,0,,184,15579000,8742000,6990000,4711000,67.4,12473.18,56083.33
2618720,Howell Public Schools,Midsize Suburb,11,6973,0,22,124,160,363,19.21,62,14,498.07,0,,651,81680000,44259000,33215000,25134000,75.67,11713.75,69239.67
2618810,Hudson Area Schools,Rural (distant),6,1133,0,6,23,22,56,20.23,0,2,566.5,0,,127,14420000,7130000,5666000,3813000,67.3,12727.27,68089.29
2618840,Hudsonville Public School District,Large Suburb,13,6855,7,34,129,160,378,18.13,168,7,979.29,0,,835,81167000,48929000,38241000,27998000,73.21,11840.55,74068.78
2618930,Huron School District,Large Suburb,7,2581,0,7,49,63,150,17.21,16,3,860.33,0,,288,34040000,18799000,15092000,10645000,70.53,13188.69,70966.67
2618990,Huron Valley Schools,Large Suburb,16,8966,5,32,152,198,478,18.76,152,13,689.69,0,,1334,117044000,58273000,50828000,33674000,66.25,13054.2,70447.7
2619050,Ida Public School District,Rural (fringe),3,1442,1,7,25,34,72,20.03,0,3,480.67,0,,174,14724000,8203000,7222000,4518000,62.56,10210.82,62750.0
2619100,Imlay City Community Schools,Town (distant),5,2018,3,7,31,50,101,19.98,21,2,1009.0,0,,237,22694000,12735000,10553000,7014000,66.46,11245.79,69445.54
