lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
4224870,Warrior Run SD,Rural (distant),3,1526,,6,48,44,109,14.0,30,5,305.2,2,763.0,222,22261000,12366000,9656000,7168000,74.23,14587.81,65761.47
4224960,Warwick SD,Large Suburb,6,4088,,12,106,146,300,13.63,106,9,454.22,6,681.33,594,64974000,38577000,30604000,22951000,74.99,15893.84,76503.33
4224970,Wayne Highlands SD,Rural (fringe),6,2486,,10,84,87,201,12.37,43,8,310.75,5,497.2,381,54216000,31373000,25282000,17864000,70.66,21808.53,88875.62
4224990,Washington SD,Large Suburb,3,1465,,7,54,51,118,12.42,0,4,366.25,1,1465.0,136,27295000,13379000,10772000,7755000,71.99,18631.4,65720.34
4225080,Wattsburg Area SD,Rural (fringe),3,1336,,5,42,51,103,12.97,19,4,334.0,2,668.0,241,25047000,11119000,9225000,5991000,64.94,18747.75,58165.05
4225110,Waynesboro Area SD,Town (fringe),6,4355,,15,115,117,267,16.31,93,10,435.5,5,871.0,531,58945000,31122000,24268000,18160000,74.83,13535.02,68014.98
4225140,Weatherly Area SD,Rural (fringe),3,672,2,3,17,24,49,13.71,19,2,336.0,1,672.0,110,15458000,6938000,5101000,3529000,69.18,23002.98,72020.41
4225170,Wellsboro Area SD,Rural (remote,4,1538,,6,40,43,102,15.08,38,3,512.67,1,1538.0,192,24556000,13482000,10080000,7568000,75.08,15966.19,74196.08
4225200,West Allegheny SD,Large Suburb,5,3347,,9,104,106,222,15.08,37,8,418.38,4,836.75,385,59196000,30621000,26462000,18603000,70.3,17686.29,83797.3
4225230,West Branch Area SD,Rural (fringe),2,1009,2,4,30,35,73,13.82,16,3,336.33,0,,144,17681000,9548000,7216000,5241000,72.63,17523.29,71794.52
4225290,West Chester Area SD,Large Suburb,16,11958,6,28,353,410,848,14.1,102,35,341.66,14,854.14,1327,248672000,125776000,95914000,69154000,72.1,20795.45,81549.53
4225440,West Greene SD,Rural (distant),2,649,,3,28,29,66,9.83,7,2,324.5,1,649.0,115,16296000,8440000,6580000,4771000,72.51,25109.4,72287.88
4225590,West Jefferson Hills SD,Large Suburb,5,3019,,11,84,100,200,15.1,21,6,503.17,4,754.75,361,77538000,26057000,22274000,15665000,70.33,25683.34,78325.0
4225650,West Middlesex Area SD,Large Suburb,3,817,,3,30,29,69,11.84,16,2,408.5,1,817.0,158,15659000,8670000,7318000,4886000,66.77,19166.46,70811.59
4225680,West Mifflin Area SD,Large Suburb,5,2760,2,8,68,81,176,15.68,30,6,460.0,4,690.0,322,61616000,25235000,20976000,14889000,70.98,22324.64,84596.59
4225740,West Perry SD,Rural (distant),5,2398,3,9,66,67,163,14.71,55,8,299.75,2,1199.0,307,50041000,18490000,14988000,10783000,71.94,20867.81,66153.37
