lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
0100005,Albertville City,Town (distant),6,5636,0,29,150,116,295,19.11,14,13,433.54,7,805.14,459,55237000,28612000,26349000,16897000,64.13,9800.75,57277.97
0100006,Marshall County,Rural (distant),15,5652,8,31,101,144,286,19.76,39,14,403.71,12,471.0,548,60022000,30884000,32647000,19574000,59.96,10619.6,68440.56
0100007,Hoover City,Small City,17,13952,12,96,363,471,943,14.8,95,33,422.79,18,775.11,1486,195605000,102547000,97127000,65305000,67.24,14019.85,69252.39
0100008,Madison City,Large Suburb,11,11290,16,70,219,323,630,17.92,74,19,594.21,13,868.46,1038,118941000,65771000,61987000,41235000,66.52,10535.08,65452.38
0100011,Leeds City,Large Suburb,4,1950,6,10,39,48,103,18.93,18,5,390.0,4,487.5,179,21442000,10796000,11128000,7274000,65.37,10995.9,70621.36
0100012,Boaz City,Town (distant),5,2427,6,13,47,70,137,17.72,15,6,404.5,5,485.4,242,29013000,12820000,13510000,8280000,61.29,11954.26,60437.96
0100013,Trussville City,Large Suburb,5,4693,7,34,99,133,273,17.19,31,9,521.44,5,938.6,457,58922000,27601000,28135000,18364000,65.27,12555.3,67267.4
0100030,Alexander City,Town (distant),5,3065,4,20,75,76,176,17.41,27,8,383.13,5,613.0,266,31755000,17971000,17179000,12063000,70.22,10360.52,68539.77
0100060,Andalusia City,Town (remote),3,1794,1,10,41,45,98,18.31,16,5,358.8,3,598.0,161,22306000,10225000,8774000,6182000,70.46,12433.67,63081.63
0100090,Anniston City,Small City,7,1947,8,14,46,42,110,17.7,29,5,389.4,5,389.4,213,24213000,12001000,11739000,8046000,68.54,12436.06,73145.45
0100100,Arab City,Rural (fringe),4,2632,6,13,63,78,160,16.45,22,5,526.4,4,658.0,267,26857000,15807000,14747000,10611000,71.95,10204.03,66318.75
0100120,Athens City,Town (fringe),8,4284,1,23,92,96,213,20.11,39,11,389.45,7,612.0,385,54753000,27528000,23820000,15714000,65.97,12780.81,73774.65
0100180,Attalla City,Small Suburb,3,1526,3,8,25,58,94,16.23,10,4,381.5,3,508.67,163,16314000,8928000,9001000,5845000,64.94,10690.69,62180.85
0100185,Saraland City,Large Suburb,4,3114,2,15,66,88,171,18.21,34,6,519.0,3,1038.0,289,37019000,15216000,14872000,9605000,64.58,11887.93,56169.59
