lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
5508640,Maple School District,Rural (distant),4,1341,3,3,30,41,78,17.19,27,3,447,1,1341,187,16947000,7597000,8115000,5185000,63.89,12637.58,66474.36
5508610,Manitowoc School District,Town (distant),11,4961,17,20,136,161,336,14.76,122,13,381.62,3,1653.67,648,68145000,37462000,35177000,25455000,72.36,13736.14,75758.93
5508550,Manawa School District,Rural (distant),2,637,2,2,17,26,48,13.27,5,2,318.5,1,637,88,10974000,4316000,4199000,2858000,68.06,17227.63,59541.67
5508520,Madison Metropolitan School District,Large City,54,26917,100,127,962,1000,2245,11.99,365,38,708.34,42,640.88,4291,442160000,234943000,247634000,156370000,63.15,16426.79,69652.56
5508340,Luxemburg-Casco School District,Rural (distant),4,1910,4,7,58,68,138,13.84,23,5,382,4,477.5,255,31861000,12890000,12919000,9053000,70.08,16681.15,65601.45
5508280,Luck School District,Rural (remote),2,438,2,2,15,19,38,11.53,6,1,438,1,438,75,7657000,3586000,3481000,2390000,68.66,17481.74,62894.74
5508250,Loyal School District,Rural (remote),3,502,1,2,16,19,39,12.87,3,1,502,0,-999,70,8207000,3746000,3381000,2497000,73.85,16348.61,64025.64
5508220,Lomira School District,Rural (distant),4,1080,2,3,23,40,69,15.65,6,2,540,0,-999,128,14025000,8023000,6949000,5127000,73.78,12986.11,74304.35
5508190,Lodi School District,Town (fringe),5,1493,4,5,39,64,113,13.21,25,3,497.67,2,746.5,228,27907000,11806000,11297000,8014000,70.94,18691.9,70920.35
5508160,Little Chute Area School District,Midsize Suburb,6,1602,3,6,43,53,106,15.11,20,4,400.5,1,1602,196,30322000,10470000,9906000,7261000,73.3,18927.59,68500
5508130,Richmond School District,Large Suburb,1,412,1,2,17,8,28,14.71,2,2,206,0,-999,49,6338000,2971000,3082000,2075000,67.33,15383.5,74107.14
5508070,Linn J6 School District,Rural (fringe),1,148,1,1,11,0,13,11.38,1,0,-999,0,-999,21,2227000,1141000,1032000,719000,69.67,15047.3,55307.69
5508040,Linn J4 School District,Rural (fringe),1,119,0,1,9,1,12,9.92,1,0,-999,0,-999,20,2185000,1186000,952000,759000,79.73,18361.34,63250
5507860,Lena School District,Rural (distant),3,388,1,2,9,20,32,12.13,4,1,388,1,388,56,5909000,3155000,2477000,1810000,73.07,15229.38,56562.5
5507830,Laona School District,Rural (remote),2,261,1,1,9,9,21,12.43,4,1,261,0,-999,37,4084000,1966000,1893000,1254000,66.24,15647.51,59714.29
5507770,Lancaster Community School District,Town (distant),3,963,3,5,28,39,76,12.67,5,3,321,1,963,147,13308000,7677000,6855000,5076000,74.05,13819.31,66789.47
5507710,Lake Mills Area School District,Town (distant),4,1588,3,5,38,48,95,16.72,21,3,529.33,3,529.33,192,21609000,9796000,9894000,6254000,63.21,13607.68,65831.58
5507680,Lake Holcombe School District,Rural (distant),2,316,1,1,10,12,25,12.64,2,1,316,0,-999,49,5477000,2366000,2417000,1537000,63.59,17332.28,61480
5507650,Lake Geneva-Genoa City UHS School District,Town (fringe),1,1432,0,0,0,99,99,14.46,7,5,286.4,1,1432,163,22512000,12744000,10859000,7986000,73.54,15720.67,80666.67
5507620,Lake Geneva J1 School District,Town (fringe),4,1918,6,9,90,50,156,12.29,12,4,479.5,1,1918,254,27976000,16089000,13912000,10374000,74.57,14586.03,66500
5507590,Ladysmith School District,Rural (fringe),3,806,3,3,23,31,60,13.43,11,3,268.67,0,-999,112,13128000,5918000,5906000,3952000,66.92,16287.84,65866.67
