lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
3622440,PARISHVILLE-HOPKINTON CENTRAL SCHOOL DISTRICT,Rural (distant),2,417,1,2,15,16,36,11.58,8,1,417.0,1,417.0,79,10999000,6687000,5577000,3850000,69.03,26376.5,106944.44
3622470,PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,Large Suburb,11,7550,,24,255,241,527,14.33,102,26,290.38,21,359.52,1143,188057000,114606000,100641000,71221000,70.77,24908.21,135144.21
3622500,PAVILION CENTRAL SCHOOL DISTRICT,Rural (distant),2,707,1,3,34,41,83,8.52,13,4,176.75,2,353.5,172,17392000,10128000,9748000,6547000,67.16,24599.72,78879.52
3622530,PAWLING CENTRAL SCHOOL DISTRICT,Rural (fringe),3,1137,,4,40,45,94,12.1,18,8,142.13,2,568.5,206,37676000,19067000,19351000,11590000,59.89,33136.32,123297.87
3622560,PEARL RIVER UNION FREE SCHOOL DISTRICT,Large Suburb,5,2475,,7,81,100,195,12.69,47,5,495.0,2,1237.5,366,78031000,46475000,40442000,31008000,76.67,31527.68,159015.38
3622650,PEEKSKILL CITY SCHOOL DISTRICT,Large Suburb,6,3531,5,8,93,100,228,15.49,98,10,353.1,3,1177.0,429,92497000,57454000,49041000,37571000,76.61,26195.7,164785.09
3622680,PELHAM UNION FREE SCHOOL DISTRICT,Large Suburb,6,2896,,12,96,108,225,12.87,20,18,160.89,4,724.0,350,74535000,48244000,44243000,33548000,75.83,25737.22,149102.22
3622710,PENFIELD CENTRAL SCHOOL DISTRICT,Large Suburb,6,4609,,16,169,174,387,11.91,93,14,329.21,8,576.13,909,96131000,55469000,51021000,34440000,67.5,20857.24,88992.25
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,Town (distant),3,1440,2,6,67,67,148,9.73,45,14,102.86,3,480.0,359,43567000,19940000,19456000,12842000,66.01,30254.86,86770.27
3622770,PERRY CENTRAL SCHOOL DISTRICT,Rural (fringe),2,868,1,3,37,43,87,9.98,22,6,144.67,2,434.0,179,17917000,10068000,9236000,6615000,71.62,20641.71,76034.48
3622830,PERU CENTRAL SCHOOL DISTRICT,Rural (distant),2,1906,2,7,70,78,163,11.69,63,10,190.6,3,635.33,386,47093000,28204000,23515000,16340000,69.49,24707.76,100245.4
3622890,PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT,Rural (fringe),4,1575,,7,63,72,143,11.01,33,8,196.88,2,787.5,324,37015000,21947000,18209000,12552000,68.93,23501.59,87776.22
3622920,PHOENIX CENTRAL SCHOOL DISTRICT,Large Suburb,3,1790,1,7,62,80,152,11.78,52,10,179.0,3,596.67,374,49184000,24526000,23741000,15614000,65.77,27477.09,102723.68
3623010,PINE BUSH CENTRAL SCHOOL DISTRICT,Rural (fringe),7,5289,4,14,171,179,383,13.81,90,12,440.75,7,755.57,792,121068000,72236000,62049000,45795000,73.8,22890.53,119569.19
3623040,PINE PLAINS CENTRAL SCHOOL DISTRICT,Rural (distant),3,924,3,3,34,47,90,10.27,31,5,184.8,1,924.0,237,34430000,17323000,15669000,10143000,64.73,37261.9,112700.0
3623070,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),Rural (distant),2,564,2,2,22,24,52,10.85,12,4,141.0,1,564.0,135,15240000,7863000,8011000,5099000,63.65,27021.28,98057.69
3623160,PITTSFORD CENTRAL SCHOOL DISTRICT,Large Suburb,9,5738,,15,184,263,478,12.0,4,36,159.39,17,337.53,1194,131302000,79306000,68787000,48202000,70.07,22882.89,100841.0
3623190,PLAINEDGE UNION FREE SCHOOL DISTRICT,Large Suburb,5,2875,,11,106,120,246,11.69,103,8,359.38,5,575.0,540,96090000,56917000,50604000,36803000,72.73,33422.61,149605.69
3623220,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,Large Suburb,7,5005,,19,199,219,459,10.9,147,38,131.71,8,625.63,973,164232000,92174000,86910000,62804000,72.26,32813.59,136827.89
3623280,PLATTSBURGH CITY SCHOOL DISTRICT,Town (distant),5,1844,2,8,74,82,183,10.08,58,2,922.0,4,461.0,371,44499000,28203000,24431000,17242000,70.57,24131.78,94218.58
3623310,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,Large Suburb,3,1682,,6,55,74,141,11.93,119,6,280.33,1,1682.0,338,50187000,29639000,27069000,19725000,72.87,29837.69,139893.62
3623340,POCANTICO HILLS CENTRAL SCHOOL DISTRICT,Rural (fringe),1,317,2,2,24,7,37,8.57,13,4,79.25,1,317.0,94,25526000,10772000,10365000,6642000,64.08,80523.66,179513.51
3623370,POLAND CENTRAL SCHOOL DISTRICT,Rural (distant),2,597,1,3,22,22,49,12.18,4,3,199.0,4,149.25,108,15289000,8354000,7383000,5015000,67.93,25609.72,102346.94
3623430,PORT BYRON CENTRAL SCHOOL DISTRICT,Rural (fringe),2,870,2,3,26,33,69,12.61,32,4,217.5,1,870.0,148,28563000,11841000,10380000,7336000,70.67,32831.03,106318.84
3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,Large Suburb,6,4914,0,11,156,145,333,14.76,104,10,491.4,1,4914.0,604,115715000,71163000,58818000,46394000,78.88,23548.03,139321.32
